T,rho,cp,mu,v,k,a,pr
100,3.5562,1.032,0.00000711,0.000002,0.00934,0.00000254,0.786
150,2.3364,1.012,0.00001034,0.000004426,0.0138,0.00000584,0.758
200,1.7458,1.007,0.00001325,0.00000759,0.0181,0.0000103,0.737
250,1.3947,1.006,0.00001596,0.00001144,0.0223,0.0000159,0.72
300,1.1614,1.007,0.00001846,0.00001589,0.0263,0.0000225,0.707
350,0.995,1.009,0.00002082,0.00002092,0.03,0.0000299,0.7
400,0.8711,1.014,0.00002301,0.00002641,0.0338,0.0000383,0.69
450,0.774,1.021,0.00002507,0.00003239,0.0373,0.0000472,0.686
500,0.6964,1.03,0.00002701,0.00003879,0.0407,0.0000567,0.684
550,0.6329,1.04,0.00002884,0.00004557,0.0439,0.0000667,0.683
600,0.5804,1.051,0.00003058,0.00005269,0.0469,0.0000769,0.685
650,0.5356,1.063,0.00003225,0.00006021,0.0497,0.0000873,0.69
700,0.4975,1.075,0.00003388,0.0000681,0.0524,0.000098,0.695
750,0.4643,1.087,0.00003546,0.00007637,0.0549,0.000109,0.702
800,0.4354,1.099,0.00003698,0.00008493,0.0573,0.00012,0.709
850,0.4097,1.11,0.00003843,0.0000938,0.0596,0.000131,0.716
900,0.3868,1.121,0.00003981,0.0001029,0.062,0.000143,0.72
950,0.3666,1.131,0.00004113,0.0001122,0.0643,0.000155,0.723
1000,0.3482,1.141,0.00004244,0.0001219,0.0667,0.000168,0.726
1100,0.3166,1.159,0.0000449,0.0001418,0.0715,0.000195,0.728
1200,0.2902,1.175,0.0000473,0.0001629,0.0763,0.000224,0.728
1300,0.2679,1.189,0.0000496,0.0001851,0.082,0.000257,0.719
1400,0.2488,1.207,0.000053,0.000213,0.091,0.000303,0.703
1500,0.2322,1.23,0.0000557,0.00024,0.1,0.00035,0.685
1600,0.2177,1.248,0.0000584,0.000268,0.106,0.00039,0.688
1700,0.2049,1.267,0.0000611,0.000298,0.113,0.000435,0.685
1800,0.1935,1.286,0.0000637,0.000329,0.12,0.000482,0.683
1900,0.1833,1.307,0.0000663,0.000362,0.128,0.000534,0.677
2000,0.1741,1.337,0.0000689,0.000396,0.137,0.000589,0.672
2100,0.1658,1.372,0.0000715,0.000431,0.147,0.000646,0.667
2200,0.1582,1.417,0.000074,0.000468,0.16,0.000714,0.655
2300,0.1513,1.478,0.0000766,0.000506,0.175,0.000783,0.647
2400,0.1448,1.558,0.0000792,0.000547,0.196,0.000869,0.63
2500,0.1389,1.665,0.0000818,0.000589,0.222,0.00096,0.613
3000,0.1135,2.726,0.0000955,0.000841,0.486,0.00157,0.536
